edad,empleado,ingreso,titulo,experiencia,estadocivil,religion,estadoactual,color,sexo,ganado,perdido,horastrabajo,origen
382:456:456:663:35, Private, 261293, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
394:469:469:690:41, Private, 195124, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 35, Dominican-Republic, <=50K
398:474:474:698:35, Private, 203628, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
399:475:475:699:31, Private, 118710, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1902, 40, United-States, >50K
428:511:511:744:42, Private, 151408, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 14084, 0, 50, United-States, >50K
448:534:534:779:34, Private, 73585, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, <=50K
458:548:548:800:46, Private, 90758, Masters, 14, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 35, United-States, >50K
476:567:567:823:31, Private, 171871, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 46, United-States, <=50K
499:590:590:852:61, Private, 99784, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
528:622:622:897:40, Private, 170108, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
548:646:646:929:51, Private, 138022, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
555:653:653:938:47, Private, 21906, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
563:663:663:953:43, Private, 227065, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 43, United-States, >50K
593:697:697:998:45, Private, 89325, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
604:709:709:1016:38, Private, 173208, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, United-States, <=50K
678:795:795:1147:33, Private, 354573, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 44, United-States, >50K
694:814:814:1174:25, Private, 404616, Masters, 14, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male, 0, 0, 99, United-States, >50K
709:829:829:1199:59, Private, 151616, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, <=50K
725:846:846:1226:38, Private, 22245, Masters, 14, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 72, ?, >50K
736:858:858:1242:35, Private, 33975, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
795:927:927:1343:57, Private, 89392, Masters, 14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
809:948:948:1374:43, Private, 221550, Masters, 14, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, Poland, <=50K
811:951:951:1380:65, Private, 198766, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 20051, 0, 40, United-States, >50K
856:1008:1008:1469:49, Private, 101320, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 75, United-States, <=50K
869:1023:1023:1491:37, Private, 175232, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 60, United-States, >50K
890:1050:1050:1534:48, Private, 125421, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, >50K
925:1092:1092:1595:55, Private, 98361, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 50, ?, >50K
934:1104:1104:1614:45, Private, 46406, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 36, England, >50K
953:1126:1126:1644:48, Private, 126754, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K
971:1148:1148:1677:43, Private, 37937, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
989:1168:1168:1701:54, Private, 177927, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
995:1176:1176:1711:43, Private, 201723, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 40, United-States, >50K
1008:1192:1192:1730:49, Private, 186078, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States, >50K
1010:1194:1194:1732:24, Private, 180060, Masters, 14, Never-married, Exec-managerial, Own-child, White, Male, 6849, 0, 90, United-States, <=50K
1033:1220:1220:1766:46, Private, 133938, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 27828, 0, 50, United-States, >50K
1077:1273:1273:1838:58, Private, 312131, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
1106:1307:1307:1895:34, Private, 192002, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
1130:1333:1333:1931:57, Private, 195176, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 80, United-States, <=50K
1139:1343:1343:1947:37, Private, 329980, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2415, 60, United-States, >50K
1140:1344:1344:1948:57, Private, 176079, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
1141:1345:1345:1951:40, Private, 102606, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
1150:1355:1355:1964:50, Private, 147629, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 45, United-States, >50K
1157:1363:1363:1974:26, Private, 122999, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 8614, 0, 40, United-States, >50K
1184:1396:1396:2018:34, Private, 173806, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 4865, 0, 60, United-States, <=50K
1185:1397:1397:2020:39, Private, 505119, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, Cuba, >50K
1225:1443:1443:2087:37, Private, 49115, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
1251:1473:1473:2135:27, Private, 79787, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
1257:1480:1480:2145:52, Private, 54933, Masters, 14, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
1263:1487:1487:2155:44, Private, 146659, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 35, United-States, >50K
1300:1530:1530:2219:45, Private, 142287, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
1321:1556:1556:2260:29, Private, 241431, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 40, United-States, >50K
1376:1616:1616:2346:44, Private, 198282, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
1406:1651:1651:2398:53, Private, 156843, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1564, 54, United-States, >50K
1528:1801:1801:2623:25, Private, 135645, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
1542:1818:1818:2653:43, Private, 96102, Masters, 14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
1589:1870:1870:2727:28, Private, 355259, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
1637:1928:1928:2805:33, Private, 164190, Masters, 14, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
1648:1941:1941:2820:41, Private, 23646, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
1654:1948:1948:2831:36, Private, 107302, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
1668:1964:1964:2862:47, Private, 102308, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
1681:1980:1980:2885:45, Private, 270842, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
1703:2004:2004:2917:26, Private, 198163, Masters, 14, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
1737:2050:2050:2982:37, Private, 98941, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
1757:2072:2072:3013:37, Private, 271767, Masters, 14, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
1769:2087:2087:3037:61, Private, 208919, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
1793:2114:2114:3079:38, Private, 266645, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
1820:2142:2142:3127:55, Private, 153484, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States, >50K
1843:2169:2169:3169:38, Private, 242720, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
1935:2277:2277:3326:59, Private, 294395, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
1962:2307:2307:3361:35, Private, 102976, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
2003:2355:2355:3429:54, Private, 457237, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
2013:2367:2367:3446:59, Private, 208395, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
2026:2380:2380:3468:39, Private, 96452, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
2039:2394:2394:3485:41, Private, 113823, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, England, <=50K
2050:2408:2408:3501:26, Private, 139098, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5013, 0, 40, United-States, <=50K
2076:2437:2437:3542:36, Private, 165799, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
2081:2444:2444:3554:56, Private, 192869, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1977, 44, United-States, >50K
2147:2522:2522:3669:37, Private, 262409, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 213, 45, United-States, <=50K
2178:2564:2564:3726:38, Private, 234901, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States, >50K
2191:2580:2580:3751:56, Private, 318450, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 80, United-States, >50K
2237:2632:2632:3831:40, Private, 71738, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 46, United-States, >50K
2261:2659:2659:3871:49, Private, 107425, Masters, 14, Never-married, Sales, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
2293:2697:2697:3929:53, Private, 201127, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, >50K
2298:2703:2703:3936:53, Private, 103950, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
2312:2718:2718:3958:42, Private, 44121, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 1876, 40, United-States, <=50K
2318:2725:2725:3968:49, Private, 101825, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1977, 40, United-States, >50K
2326:2734:2734:3981:48, Private, 96798, Masters, 14, Divorced, Sales, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
2445:2868:2868:4174:46, Private, 324655, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1902, 40, ?, >50K
2555:2996:2996:4351:53, Private, 114758, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 65, United-States, >50K
2567:3009:3009:4368:42, Private, 201785, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
2598:3043:3043:4413:43, Private, 304175, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
2624:3075:3075:4467:49, Private, 185041, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
2671:3136:3136:4551:53, Private, 424079, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, United-States, >50K
2685:3151:3151:4573:34, Private, 299635, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States, >50K
2711:3187:3187:4622:40, Private, 191196, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
2787:3277:3277:4749:42, Private, 107762, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
2798:3292:3292:4782:49, Private, 65087, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
2802:3298:3298:4790:37, Private, 117381, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
2863:3368:3368:4896:46, Private, 55720, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
2900:3408:3408:4959:25, Private, 108779, Masters, 14, Separated, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
2903:3412:3412:4965:47, Private, 169180, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
2941:3461:3461:5046:55, Private, 31905, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
2945:3465:3465:5051:32, Private, 473133, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
2983:3510:3510:5114:39, Private, 225544, Masters, 14, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, Poland, <=50K
2986:3515:3515:5122:46, Private, 265275, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
3008:3540:3540:5160:47, Private, 190139, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
3010:3543:3543:5165:27, Private, 133937, Masters, 14, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
3075:3613:3613:5278:44, Private, 116632, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
3080:3618:3618:5285:40, Private, 167265, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 43, United-States, <=50K
3086:3624:3624:5293:80, Private, 157778, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
3116:3655:3655:5339:47, Private, 169092, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 50, United-States, >50K
3126:3666:3666:5353:30, Private, 156464, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
3138:3683:3683:5379:63, Private, 361631, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
3189:3745:3745:5460:33, Private, 176992, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
3239:3804:3804:5545:44, Private, 296728, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
3263:3830:3830:5582:44, Private, 112517, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 20, United-States, >50K
3271:3839:3839:5595:29, Private, 168479, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
3283:3855:3855:5616:35, Private, 204527, Masters, 14, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
3294:3870:3870:5636:51, Private, 146574, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
3298:3874:3874:5641:37, Private, 126569, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 60, United-States, >50K
3321:3901:3901:5675:35, Private, 112271, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
3325:3905:3905:5680:49, Private, 178749, Masters, 14, Married-spouse-absent, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
3331:3911:3911:5687:53, Private, 106176, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 60, United-States, >50K
3358:3939:3939:5729:45, Private, 543922, Masters, 14, Divorced, Transport-moving, Not-in-family, White, Male, 14344, 0, 48, United-States, >50K
3414:4006:4006:5819:35, Private, 241126, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
3418:4010:4010:5824:35, Private, 99357, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 50, United-States, >50K
3426:4019:4019:5838:41, Private, 93793, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, >50K
3431:4024:4024:5843:50, Private, 196193, Masters, 14, Married-spouse-absent, Prof-specialty, Other-relative, White, Male, 0, 0, 60, ?, <=50K
3446:4041:4041:5864:66, Private, 216856, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
3447:4042:4042:5865:64, Private, 256019, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
3457:4055:4055:5884:36, Private, 261382, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 45, United-States, >50K
3481:4084:4084:5928:42, Private, 259643, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 4650, 0, 40, United-States, <=50K
3535:4145:4145:6004:51, Private, 44000, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 99999, 0, 50, United-States, >50K
3574:4193:4193:6079:42, Private, 180032, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
3599:4221:4221:6113:39, Private, 91711, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
3660:4290:4290:6207:40, Private, 146520, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
3664:4294:4294:6213:41, Private, 143046, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
3671:4307:4307:6235:67, Private, 195161, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 20051, 0, 60, United-States, >50K
3715:4356:4356:6301:43, Private, 102180, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
3731:4374:4374:6326:39, Private, 126675, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
3795:4448:4448:6431:41, Private, 280167, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 70, United-States, >50K
3811:4466:4466:6457:55, Private, 163083, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
3817:4474:4474:6466:25, Private, 181528, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K
3819:4477:4477:6470:34, Private, 204470, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
3838:4496:4496:6502:39, Private, 194404, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, United-States, >50K
3858:4521:4521:6535:35, Private, 188069, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 13550, 0, 55, ?, >50K
3881:4548:4548:6582:33, Private, 111567, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 45, Germany, >50K
3884:4551:4551:6586:39, Private, 192702, Masters, 14, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
3899:4569:4569:6609:38, Private, 314310, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
3900:4570:4570:6610:37, Private, 259785, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
3901:4571:4571:6611:45, Private, 127111, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
3906:4576:4576:6617:39, Private, 182828, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
3935:4611:4611:6669:36, Private, 263130, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
3961:4641:4641:6702:57, Private, 375868, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
3982:4667:4667:6741:39, Private, 49020, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 1974, 40, United-States, <=50K
3996:4682:4682:6765:44, Private, 104196, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
4014:4703:4703:6792:67, Private, 217028, Masters, 14, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
4039:4732:4732:6833:45, Private, 125489, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
4041:4734:4734:6835:28, Private, 209205, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
4168:4883:4883:7053:30, Private, 110643, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 4386, 0, 40, United-States, >50K
4187:4906:4906:7089:45, Private, 107682, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
4197:4917:4917:7107:46, Private, 182128, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 6497, 0, 50, United-States, <=50K
4198:4918:4918:7109:33, Private, 101562, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
4209:4929:4929:7121:47, Private, 26950, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 0, 6, United-States, <=50K
4226:4947:4947:7149:41, Private, 174395, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
4233:4954:4954:7157:52, Private, 99736, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Male, 15020, 0, 50, United-States, >50K
4344:5088:5088:7355:42, Private, 383493, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
4376:5121:5121:7399:60, Private, 52152, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
4419:5171:5171:7469:38, Private, 241153, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, >50K
4432:5187:5187:7487:43, Private, 208277, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 45, United-States, >50K
4474:5236:5236:7557:44, Private, 115323, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
4499:5265:5265:7601:43, Private, 188808, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
4511:5281:5281:7623:44, Private, 125461, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, >50K
4542:5319:5319:7673:47, Private, 30840, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
4558:5339:5339:7703:57, Private, 245193, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
4572:5353:5353:7722:84, Private, 241065, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 66, United-States, <=50K
4643:5432:5432:7826:51, Private, 182314, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
4645:5434:5434:7830:46, Private, 124071, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 44, United-States, <=50K
4656:5445:5445:7846:35, Private, 107302, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, India, <=50K
4663:5452:5452:7862:30, Private, 175856, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, <=50K
4678:5469:5469:7890:59, Private, 75867, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
